1;Urząd Skarbowy;Bolesławiec;59-700;Garncarska 10;20101016740004332221000000;67101016740004332222000000;17101016740004332223000000;11101016740004332227000000
2;Urząd Skarbowy;Bystrzyca Kłodzka;57-500;Adama Mickiewicza 5;98101016740023782221000000;48101016740023782222000000;95101016740023782223000000;89101016740023782227000000
3;Urząd Skarbowy;Dzierżoniów;58-200;Pocztowa 14;88101016740008952221000000;38101016740008952222000000;85101016740008952223000000;79101016740008952227000000
4;Urząd Skarbowy;Głogów;67-200;Adama Mickiewicza 53;09101016740006352221000000;56101016740006352222000000;06101016740006352223000000;97101016740006352227000000
5;Urząd Skarbowy;Jawor;59-400;Jurija Gagarina 5;54101016740006642221000000;04101016740006642222000000;51101016740006642223000000;45101016740006642227000000
6;Urząd Skarbowy;Jelenia Góra;58-500;Wolności 121;06101016740008402221000000;53101016740008402222000000;03101016740008402223000000;94101016740008402227000000
7;Urząd Skarbowy;Kamienna Góra;58-400;Papieża Jana Pawła II 18;13101016740004912221000000;60101016740004912222000000;10101016740004912223000000;04101016740004912227000000
8;Urząd Skarbowy;Kłodzko;57-300;Stanisławy Walasiewiczówny 1;66101016740020752221000000;16101016740020752222000000;63101016740020752223000000;57101016740020752227000000
9;Urząd Skarbowy;Legnica;59-220;Najświętszej Marii Panny 3;15101016740032322221000000;62101016740032322222000000;12101016740032322223000000;06101016740032322227000000
